Date,Year,Week,Accident and Emergency,ICU,Pediatric,Maternity,General,Acute Care,Orthopedic,Executive and VVIP,Admission
2004-01-01,2004,1,95,92,85,64,37,47,39,35,21
2004-01-02,2004,1,95,95,89,69,48,46,39,25,20
2004-01-03,2004,1,102,93,93,63,39,50,37,26,24
2004-01-04,2004,1,99,93,90,63,38,55,42,31,21
2004-01-05,2004,1,104,104,87,64,38,53,40,26,21
2004-01-06,2004,1,98,90,88,60,44,54,45,25,20
2004-01-07,2004,1,103,105,95,56,46,49,37,33,24
2004-01-08,2004,2,101,106,95,63,40,55,44,27,23
2004-01-09,2004,2,96,95,95,63,44,51,41,28,22
2004-01-10,2004,2,104,105,93,59,43,48,41,26,21
2004-01-11,2004,2,104,104,91,61,38,48,45,31,23
2004-01-12,2004,2,95,99,84,58,44,48,42,25,21
2004-01-13,2004,2,102,108,86,63,36,52,39,29,23
2004-01-14,2004,2,98,98,92,64,43,47,40,32,21
2004-01-15,2004,3,99,95,91,65,42,47,40,25,23
2004-01-16,2004,3,95,92,80,67,46,53,43,32,22
2004-01-17,2004,3,105,94,87,69,39,47,35,32,24
2004-01-18,2004,3,97,107,91,56,36,52,37,28,22
2004-01-19,2004,3,98,96,95,62,41,46,35,31,21
2004-01-20,2004,3,104,107,95,66,40,51,43,27,22
2004-01-21,2004,3,98,97,83,63,39,53,38,31,23
2004-01-22,2004,4,97,96,86,67,46,47,42,28,24
2004-01-23,2004,4,104,101,84,63,48,51,38,25,22
2004-01-24,2004,4,100,103,80,69,47,46,43,34,21
2004-01-25,2004,4,101,105,90,63,38,47,37,33,21
2004-01-26,2004,4,105,99,87,69,46,55,42,35,21
2004-01-27,2004,4,99,98,80,62,42,54,38,32,22
2004-01-28,2004,4,97,93,92,69,44,49,40,25,24
2004-01-29,2004,5,104,92,84,67,44,47,39,34,21
2004-01-30,2004,5,98,102,80,60,37,46,45,28,22
2004-01-31,2004,5,99,94,84,60,47,55,45,26,20
2004-02-01,2004,5,99,94,86,61,45,49,36,27,23
2004-02-02,2004,5,101,99,96,69,40,50,45,27,23
2004-02-03,2004,5,100,108,89,67,41,46,45,35,24
2004-02-04,2004,5,95,92,84,68,42,49,44,33,23
2004-02-05,2004,6,99,94,83,70,37,51,35,30,24
2004-02-06,2004,6,105,107,96,70,38,48,41,31,20
2004-02-07,2004,6,100,103,85,60,42,49,43,32,23
2004-02-08,2004,6,98,90,83,58,39,50,44,33,20
2004-02-09,2004,6,105,100,88,56,47,50,37,27,22
2004-02-10,2004,6,97,102,96,56,44,53,37,30,24
2004-02-11,2004,6,103,91,85,61,41,48,39,28,20
2004-02-12,2004,7,95,101,91,64,41,51,38,31,21
2004-02-13,2004,7,100,93,89,65,42,52,37,29,20
2004-02-14,2004,7,101,97,95,65,40,46,45,26,24
2004-02-15,2004,7,98,93,87,67,36,52,35,33,20
2004-02-16,2004,7,95,93,84,66,39,47,36,25,20
2004-02-17,2004,7,96,107,89,59,45,49,41,26,24
2004-02-18,2004,7,103,101,91,65,45,51,41,33,23
2004-02-19,2004,8,99,94,86,56,45,54,41,31,24
2004-02-20,2004,8,97,104,93,58,38,55,42,34,24
2004-02-21,2004,8,95,105,93,56,45,51,36,30,24
2004-02-22,2004,8,98,103,81,57,46,51,35,25,21
2004-02-23,2004,8,104,94,91,57,42,55,40,26,24
2004-02-24,2004,8,96,91,82,66,36,47,40,31,21
2004-02-25,2004,8,99,93,85,56,40,51,42,25,24
2004-02-26,2004,9,96,108,82,68,42,47,39,33,24
2004-02-27,2004,9,95,90,96,57,37,49,35,30,23
2004-02-28,2004,9,100,100,87,65,36,47,40,34,22
2004-02-29,2004,9,100,90,84,65,46,55,41,26,24
2004-03-01,2004,9,103,96,94,59,45,45,43,31,21
2004-03-02,2004,9,98,101,87,62,46,54,39,27,21
2004-03-03,2004,9,100,104,95,65,45,55,39,30,20
2004-03-04,2004,10,102,85,74,66,49,45,39,32,16
2004-03-05,2004,10,100,84,65,60,52,54,43,28,18
2004-03-06,2004,10,99,85,77,62,54,52,35,27,16
2004-03-07,2004,10,103,78,67,64,54,45,39,29,17
2004-03-08,2004,10,99,77,65,61,57,51,42,28,18
2004-03-09,2004,10,103,75,68,56,48,52,37,25,20
2004-03-10,2004,10,105,83,64,66,54,52,36,29,20
2004-03-11,2004,11,102,88,72,58,51,54,44,35,18
2004-03-12,2004,11,95,77,69,65,56,45,45,27,20
2004-03-13,2004,11,100,74,66,66,58,46,44,30,18
2004-03-14,2004,11,97,87,65,56,49,52,40,32,18
2004-03-15,2004,11,99,72,80,59,60,49,36,32,20
2004-03-16,2004,11,104,87,71,63,48,45,35,29,19
2004-03-17,2004,11,100,75,76,65,49,49,36,31,17
2004-03-18,2004,12,98,77,74,61,59,49,41,31,20
2004-03-19,2004,12,104,74,76,63,53,45,38,26,18
2004-03-20,2004,12,97,84,71,63,48,51,36,34,18
2004-03-21,2004,12,96,76,70,64,56,50,44,32,16
2004-03-22,2004,12,95,86,71,60,55,47,35,33,20
2004-03-23,2004,12,99,77,68,61,52,55,38,28,18
2004-03-24,2004,12,99,86,70,69,52,51,43,28,18
2004-03-25,2004,13,103,78,69,68,57,48,42,30,16
2004-03-26,2004,13,95,90,76,68,53,54,36,32,19
2004-03-27,2004,13,105,73,80,67,59,52,41,34,17
2004-03-28,2004,13,101,88,78,64,48,47,40,26,19
2004-03-29,2004,13,103,77,67,65,60,46,44,26,20
2004-03-30,2004,13,99,74,69,68,57,53,36,29,17
2004-03-31,2004,13,99,89,70,67,58,49,38,27,18
2004-04-01,2004,14,105,74,66,58,59,49,41,30,17
2004-04-02,2004,14,98,89,65,66,56,51,36,30,17
2004-04-03,2004,14,95,83,71,57,54,46,35,30,20
2004-04-04,2004,14,98,76,78,65,49,47,44,32,17
2004-04-05,2004,14,100,87,77,66,50,51,37,28,20
2004-04-06,2004,14,99,77,66,62,57,55,37,32,16
2004-04-07,2004,14,100,78,70,68,55,47,41,34,17
2004-04-08,2004,15,104,83,70,59,58,51,37,33,18
2004-04-09,2004,15,98,86,72,69,49,53,39,34,19
2004-04-10,2004,15,99,83,70,60,55,49,35,26,18
2004-04-11,2004,15,101,81,75,64,59,46,45,28,16
2004-04-12,2004,15,102,88,66,61,59,49,41,31,16
2004-04-13,2004,15,104,85,76,62,49,49,39,28,20
2004-04-14,2004,15,97,76,69,66,52,54,45,33,18
2004-04-15,2004,16,96,77,66,59,48,52,42,29,16
2004-04-16,2004,16,103,87,71,57,49,49,45,25,16
2004-04-17,2004,16,95,78,75,66,57,46,43,31,18
2004-04-18,2004,16,104,80,77,58,56,48,35,35,16
